Source,Content,L1,L2
Google Play,Không phù hợp xuất hiện quá nhiều lân,Others,Cannot defined
Google Play,"Rõ là shipper không giao hàng rồi bấm vô nhiều lần ko nhận hàng, tôi thì ko nhận đc bất kì cuộc gọi nào từ shipper, bây h tôi đã bị khoá tài khoàn do shipper. Thật sự rất không hài lòng về việc này",Delivery,Driver
Google Play,Ứng dụng 1,Others,Cannot defined
Non Owned,Bác nào qua lấy đơn này giúp e với ak :((,Others,Seller
Non Owned,"❌ HÀNG GIẢ, HÀNG NHÁI TRÀN NGẬP TIKTOK, SHOPEE, LAZADA, FACEBOOK  Bộ dầu gội phục hồi nấm Truffle Weilaiya đang được làm giả rất nhiều và còn được quảng cáo tràn lan trên Tiktok, Facebook & các sàn TMĐT với mức giá thấp hơn nhiều so với giá niêm yết.  Weilaiya cảnh báo quý khách hàng không nên mua sản phẩm ở những nơi không đáng tin cậy, không phải là đại lý chính hãng của Weilaiya.  ⚠ DẤU HIỆU NHẬN BIẾT HÀNG GIẢ, HÀNG NHÁI - Hàng giả có giá bán thấp hơn giá niêm yết của công ty rất nhiều: Giá niêm yết: 1.170.000đ/cặp (giá bán thấp nhất trong các CTKM: 1.070.000đ/cặp) - Chất dầu lợn cợn, không kết dính - Mã vạch dầu gội, dầu xả giống hệt nhau - Mùi hương hắc, khó chịu hoặc không thơm - Công nghệ in kém, có thể dễ dàng cạo ra  Khách hàng và đối tác đặc biệt lưu ý tránh mua phải hàng giả, hàng nhái. Đồng thời, nếu phát hiện thêm các Website, Fanpage, Gian hàng giả mạo công ty hoặc phân phối hàng giả, hàng nhái, hàng kém chất lượng, vui lòng gửi đường link đến bộ phận Pháp chế công ty Wonder Union theo địa chỉ:- Zalo: 0827963018  - Email: cskh@weilaiya.vn",Others,Scam
Google Play,k thể đặt hàng,Others,Cannot defined
Owned,"#GhienShopeePayawardT8  Nhờ những mã shopee live mà mình mới biết đến loại khăn giấy này. Chỉ cần một chữ “xịn” để đánh giá ý. Khăn giấy 2 lớp nên cũng mỏng thôi nhưng mềm, mịn và dai lắm nha. Ngoài ra bột gỗ dùng để sản xuất khăn giấy là loại có nguồn gốc rõ ràng, có chứng nhận bảo vệ môi trường nữa. Made in Japan nha, vừa rẻ vừa xịn, mãi iu",Commercial,Shopee Programs
Google Play,"App lỗi, toàn bị đẩy về trang chủ, ko làm đc gì",Feature,App performance
Non Owned,"Mình có đặt mua cái sim vina vd149 ở shop này, họ đã không hỗ trợ đổi sim khác cho mình thì thôi, còn nói xóc óc kiểu đấy nữa chứ, bỏ ra số tiền để mua cái sim vina vd149 đâu có ít, shop lại đưa số mình kỵ mình cần hỗ trợ đổi số khác mà shop trả lời vậy đấy. Sim mua dùng tận 12 tháng chứ không phải 1 2 ngày đâu, nó cũng được xem như một số chính thứ 2 để dùng rồi. Không biết người trả lời là chủ shop hay nhân viên chăm sóc khách hàng của shop nhưng cái thái độ thiếu tôn trọng khách hàng, không lịch sự, nói chuyện xóc khách hàng, mình không chấp nhận. Mình cũng chào thua với shop luôn, đã bán hàng 5 năm trên shopee rồi mà cái vấn đề nó rất chi là nhỏ và rất chi là dễ xử lý mà lại làm thế. Thôi mình xin không bao giờ mua hàng ở shop này nữa, còn bạn nào muốn mua thì cứ việc, mình đăng lên đây để nói vấn đề mình gặp phải thôi",Buyer complained seller,Customer service (didn't respond/impolite)
Non Owned,"Ai có voucher: siêu thị, gg clay, game, hoá đơn, đa năng của momo ib mình thu nha. Voucher shoppe, Zalo pay, VN pay phải có số dư mình mới thu Nhận rút ví trả sau của momo, Viettel pay,.... Chiết khấu hợp lí. Ko hỗ trợ số dư Chưa từng bị phốt Check thoải mái Cân all gdtg ( phí bạn chịu).",Others,Scam
Google Play,Tự động hủy đơn của khách,Order/Item,Order cancelled
iOS,Bảo mật kém. Bị hack thông tin đơn hàng,Others,Scam
Google Play,Quản cáo nhiều quá,Commercial,Promotions
Non Owned,tưới lại còn 10 lượt,Commercial,Games/Minigames
Non Owned,[45-75kg] Tole pizama tay ngắn quần dài Vnxk [45-75kg] Tole pizama tay ngắn quần dài Vnxk  size M (45-55kg)  size L (55-62kg)  size XL (62-70kg)  size XXL (70-75kg)   Vải tole xuất khẩu đẹp mịn mát  https://shopee.vn/%5B45-75kg%5D-Tole-pizama-tay-ng%E1%BA%AFn-qu%E1%BA%A7n-d%C3%A0i-Vnxk-i.31006613.14911883042,Others,Cannot defined
Google Play,Tiền ship gấp đôi tiền hàng😌,Delivery,Shipping fee
Google Play,Shopee càng ngày càng tệ,Others,Cannot defined
Google Play,Lướt một lúc đứng,Feature,App performance
Google Play,Khóa tài khoản ko rõ lí do hỏi thì bảo lạm dụng phiếu giảm giá nói chuyện thì kêu kết thúc nói chuyện kém như lửa chùa,Shopee account,Banned/blocked
Google Play,Ko đăng nhập vào được khi quên mật khẩu,Others,Cannot defined
Non Owned,Full giao diện website bán hàng màu cam cực chất giống Shopee đầy đủ chức năng HTML CSS JS https://gitlvt.github.io/repos1/code/edubook.html 🌜,Others,Cannot defined
Non Owned,Share link tươi cây ngày 29/12 ở cmt hoặc vào nhóm GIÚP TƯỚI CÂY SHOPEE  nha! Mn hạn chế đăng bài ạ.,Commercial,Games/Minigames
Non Owned,"Lẹ, Vẫn đang còn nhiều nè: https://shope.ee/4pgxO49ZNk",Others,Cannot defined
Google Play,Shopee bị cái gì mà tôi đặt hàng xong bị tài khoảng không tạo được tạo nó nói bị lỗi,Others,Cannot defined
Google Play,Không đặt được hàng😌,Others,Cannot defined
Google Play,Tính bảo vệ quyền lợi người dùng của Shopee coi như k có. Nhà bán hàng có thể xúc phạm người trên app mà k có kiểm duyệt. Hỗ trợ KH thì coi như không mặc dù đã report rất rất nhiều lần về việc bình luận thô tục của nhà bán hàng!,Services,Contact Agent
Non Owned,realme 9 ra mắt - thế hệ kế nhiệm 9 series mang thiết kế gợn sóng “chiều lòng” giới trẻ,Others,Cannot defined
Google Play,Quang caongren điện thoại qua nhiều,Commercial,Promotions
iOS,kh làm gì cũng bị khoá acc,Shopee account,Banned/blocked
Google Play,Ủa mn hôm nay Shopee bị j thế ? Sao cứ lỗi hoài z?,Feature,App performance
Google Play,Dịch vụ cần xem lại,Others,Cannot defined
Google Play,C** 🖕😡😡😡😡😡😡,Others,Cannot defined
Google Play,"Quá nhiều lỗi , app khiến hao pin rất nhanh dù đang dùng máy mới",Feature,App performance
Google Play,Uu,Others,Cannot defined
Owned,Tự nhiên muốn quay lại 1 năm trước để năm ở nhà coi Shopee Live cả ngày :((,Others,Seller
Google Play,Vào bấm thì không ăn hàng chán hết muốn mua:),Feature,App performance
Non Owned,"Hnay mn đã nghỉ lễ chưa ạ  , Chè Thái tụi e phục vụ xuyên suốt nắng mưa lễ lộc các kiểu con đà điểu😽 Chè Thái Đặc Biệt - Song Hành Đồng Tâm Địa chỉ 66/4 Ngay ngã tư Song Hành - Đồng Tâm  0902 735 276 Ship mọi lúc - bán ăn tại chổ từ 16h chiều đến 22h30 tối 😘😘😘 Quán phục vụ thêm trên App Grab và Shopee Food với nhiều mã giảm giá và đồ tặng kèm , kính mời !",Others,Cannot defined
Google Play,"Tệ quá , đặt hàng không được trong khi mình không vi phạm gì cả , cũng không có thông báo gì cả 😥",Others,Cannot defined
Non Owned,Sôi động thị trường vải thiều đầu mùa,Others,Cannot defined
Non Owned,"Được các bạn shopee hỗ trợ nhiệt tình vậy mà bán dc nhiêu đây à, anh chị có gì góp ý giúp em với 😅",Others,Seller
iOS,"mình không thể nhận tiền qua shopee pay khi người thân của mình chuyển qua, kể cả nạp tiền vào shopee pay cũng không được vì app cứ thông báo cập nhật phiên bản mới nhất dù mình đã cập nhật rồi
mong các bạn gq",Payment,ShopeePay
Google Play,rất lag,Feature,App performance
Google Play,"Shopee sửa lỗi đi ạ, từ sáng tới giờ k thanh toán được, vừa r chọn giỏ hàng k chọn được luôn. App lớn mà làm ăn chán vậy",Payment,Payment issues
Google Play,Đang chơi quảng cáo lắm thế😡,Commercial,Promotions
Google Play,Sao 2 ngày nay mà k vào đc shop tí nào Rõ đang có đơn hàng đang gửi Định quỵt nhau hay j Trả tiền sẵn rồi,Feature,App performance
Google Play,Vô để coi đơn hàng đang giao đến đâu mà cứ thông báo lỗi? Lỗi cl gì? Lũ chúng m định lừa đảo t đấy à??,Feature,App performance
Non Owned,"**[Tân Bình - HCM] #ReliaVietnamJSC** **Tuyển dụng # **️**⛳️**NHÂN VIÊN TIẾP NHẬN VÀ TRẢ LỜI KÊNH CHAT/EMAIL - SHOPEE - KHÔNG GỌI ĐIỆN/KHÔNG SALE**  *** Nhận việc - Đào tạo trước Tết - Làm việc sau Tết  *** Không yêu cầu kinh nghiệm  *** Có đầy đủ trang thiết bị làm việc  ----------------------------------  🍑** THU NHẬP**: ***6.800.000 – 7.550.000 đồng/tháng*** * *Hỗ trợ lương trong quá trình đào tạo* * *Ký HĐLĐ với đầy đủ tất cả các chế độ Bảo hiểm BHXH, BHYT,...* * *Lương tháng 13, tăng lương định kỳ* * *14 ngày phép/năm* * *Tham gia Công đoàn, Thưởng lễ, tết, sinh nhật,..* * *Khám sức khỏe định kỳ* * *Teambuilding, year end party,...*  🍑 **MÔ TẢ CÔNG VIỆC** * *Tiếp nhận và trả lời thông tin, ý kiến, thắc mắc, khiếu nại,... của khách hàng khi đặt hàng, mua sắm online trên trang SHOPEE qua kênh **EMAIL/CHAT.***  🍑** THỜI GIAN LÀM VIỆC** * Ca 1. 6:00 - 15:00 * Ca 2: 7:00 - 16:00 * Ca 3: 8:00 - 17:00 * Ca 4: 9:00 - 18:00 * Ca 5: 11:00 - 20:00 * Ca 6: 13:00 - 22:00  *** 06h - 24h, xoay ca, có làm ca gãy, 6 ngày/tuần, nghỉ 1 ngày/tuần theo sắp xếp Quản lý.  *** 22:00-24:00 khi có phát sinh (tính 130% lương, được sắp xếp làm ONLINE nếu có Laptop)  🍑** ĐỊA CHỈ LÀM VIỆC:**  *Tòa nhà Cao Ốc 222 - 226 Hoàng Hoa Thám, P. 12, Q. Tân Bình, TP. Hồ Chí Minh.* > **@LIÊN HỆ** > Hotline/zalo: ***0374 606 020 - Ms Huyên*** > Gửi CV về mail: ***huyen.nvq@relia-vietnam.com.vn*** > ***Link ứng tuyển: https://forms.gle/QjAxL3TDSyHNn9ze8***",Others,Cannot defined
Google Play,Lỗi m01 sao mua đc,Shopee account,Banned/blocked
Google Play,"Như cc, tài khoản vừa tạo mới đặt hàng xong cái bị khoá éo có lý do... Nhãm lol",Shopee account,Banned/blocked
Google Play,Tự nhiên không đăng nhập đc,Shopee account,Sign up/Log in
Google Play,"Shopee mãi đỉnh, nghèo quá thì xóa app đi ạ",Others,Cannot defined
Owned,Mn đừng quên ngoài trồng cây nhận vật phẩm thì trong mỗi livestream của Shopee sẽ tung ngẫu nhiên vật phẩm nữa nha #NghienShopee,Commercial,Shopee Programs
Google Play,Má ơi t zô mà đăng nhập k đc đăng ký CX k đc luôn :)),Shopee account,Sign up/Log in
Google Play,"Cứ quản cáo quá nhiều, app nào củng gặp quản cáo của shopee😆",Commercial,Promotions
Non Owned,"Độ cốp điện đơn giản chỉ với 79k, lắp đặt khá đơn giản và nhanh chóng. 🛒Shopee: https://shope.ee/5Kd3xuZf4U",Commercial,Items/price
Non Owned,lấy lẹ,Others,Cannot defined
Owned,"<𝐌𝐈𝐍𝐈𝐆𝐀𝐌𝐄> CÒN 1 NGÀY TỚI SIÊU SALE 5.5 - SHOPEE TẶNG BẠN  1️⃣ Thích và Theo dõi Fanpage Shopee (VN) 2️⃣ Bình luận hashtag #Shopee55SieuHoiHoanXu #ShopeeVN 3️⃣ Đính kèm Username Shopee + T.A.G 02 người bạn và liên tục tương tác với bình luận để nhận Voucher khủng!!  🎁🎁 GIẢI THƯỞNG: 🏆 01 tay đua có nhiều lượt reply (trả lời) nhất, nhận ngay VOUCHER 3,000,000đ áp dụng TOÀN SÀN CHO ĐƠN TỪ 0Đ 🏆 02 tay đua có nhiều lượt reply (trả lời) tiếp theo, nhận ngay VOUCHER 2,000,000đ áp dụng TOÀN SÀN CHO ĐƠN TỪ 0Đ 🏆 10,000 SHOPEE XU sẽ dành tặng 05 bạn may mắn ngẫu nhiên!  ▫ ⏰ Thời gian kết thúc: 23h59 ngày 08/05/2022    ▫ ⚠️ LƯU Ý:  - Quy định chung: https://shopee.vn/quy-dinh-chung-minigame __________________________ 🎉 ĐÓN CHỜ 5.5 SIÊU HỘI HOÀN XU 🎉  (Từ 26.4 - 5.5) ▶️ https://shopee.vn/don-cho-5-5-sieu-hoi-hoan-xu   Đừng bỏ lỡ ưu đãi khủng ngày 5.5:  🎁 Miễn phí vận chuyển đơn từ 0Đ 🎁 Hoàn 25% Shopee xu 🎁 Chia kho xu 500 triệu xu cùng ShopeePay 🎁 6 khung giờ săn sale đậm: 0H - 9H - 12H - 15H - 18H - 21H   #Shopee55SieuHoiHoanXu __________________________ 📲 Tải ứng dụng Shopee để bắt đầu mua sắm: https://shopee.vn/UngdungmuasamShopee 📲 Hướng dẫn mua hàng: https://shopee.vn/Huongdanmuahang 📲 Xem vui mỗi ngày và săn voucher hấp dẫn: https://shopee.vn/tiktok",Commercial,Shopee Programs
Google Play,ko tốt,Others,Cannot defined
Non Owned,"Mọi người cho e hỏi với, có cách nào bán hàng trên shopee mà k  phải ôm hàng không, tại nguồn hàng kho của mình là phải lấy theo thùng thôi",Others,Seller
Google Play,Lần đầu tiên từ 13k xu xuống còn 10k trong khi k tiêu gì lần thứ 2 từ 14.5k xu còn có 8.1k cũng chưa tiêu,Feature,Shopee coins
Google Play,Vl ko đặt đc hàng . Mã m02 nữa chứ .....,Feature,Apply Voucher
Google Play,Tui ý kiến mấy của tui cứ bị xuất hiện liên tục shipper gây mấy của tôi lag xin cảm ơn đừng làm phiền,Feature,App performance
Google Play,Shopee giờ làm ăn quá tệ k còn như trước nữa đặt đơn hàng dùng mà free ship 0 đồng mà còn 15k ủa là sao làm ăn kiểu gì vậy k bg sử dụng nữa . Qua lazada còn tốt hơn nhiều,Feature,Apply Voucher
Google Play,Hay bị mất xu,Feature,Shopee coins
Google Play,Shopee là ứng dụng khá tốt.. lỗi là tại người bán hàng lợi dụng bán hàng dởm thôi.. với shopee chạy chậm quá load cả tiếng đồng hồ ms đặt đc cái hàng:)),Feature,App performance
Non Owned,"mình cần bán xu shopee 9.k xu =7,8.k spp/momo/zalopay. mình chuyển xu trước, cho phép nợ lại nhiều ngày",Commercial,Games/Minigames
Google Play,Shopee quân ăn cắp ăn cướp ban ngày trắng trợn. Thất đức. Khốn nạn. Cái chương trình trả hàng là quân ăn cắp ăn cướp. Hàng hoàn trả với lý do vô lý shopee tự cho trả hàng hoàn tiền. Còn khách thì lẩn trốn không dám nghe đt à hiểu rồi. Quân Thất đức khốn nạn.,Return/Refund,Dispute
Google Play,Game cũng quảng cáo quảng cáo cl à,Commercial,Promotions
Non Owned,"⚡⚡𝗕𝗟𝗔𝗖𝗞 𝗙𝗥𝗜𝗗𝗔𝗬: MUA SẮM CUỒNG SAY - ƯU ĐÃI đến 50%++++​ 💪Tuần lễ Black Friday đến rồi, các fan của Glam Beautique có đang hối hả với deadline công việc, shopping nhưng cũng đừng quên thời gian relax nhé. ​ 😘😘Vào thời điểm này, rất nhiều mặt hàng, sản phẩm từ các nhãn hàng bình dân đến nổi tiếng toàn thế giới đều đồng loạt Sale off, giảm giá mạnh để đáp ứng nhu cầu tăng cao cuối năm.​ ------ 📌HỆ THỐNG CỬA HÀNG: 🌐Miền Nam: ◾ Glam Beautique - Tầng trệt, Aeon Mall Tân Phú ◾ Glam Beautique - Tầng trệt, Aeon Mall Bình Tân ◾ Glam Beautique - Tầng trệt, Aeon Mall Bình Dương Canary ◾ Aeon Wellness - Tầng trệt, Vạn Hạnh Mall ◾ Aeon Wellness - Tầng B1, Giga Mall: 🌐 Miền Bắc: ◾ Glam Beautique - Tầng trệt, Aeon Mall Long Biên ◾ Glam Beautique - Tầng 1, Aeon Mall Hà Đông ◾ Glam Beautique - Tầng trệt, Aeon Mall Hải Phòng 📌SHOPPING ONLINE: ◾ Aeon Eshop: https://bit.ly/gbeshop ◾ Shopee: https://bit.ly/gboshopee #glambeautique #aeonwellness #aeon #aeonvietnam",Others,Cannot defined
Google Play,D và stun của từ trường của mình 😡😡😡,Others,Cannot defined
Non Owned,"Bao tay rửa xe 2 mặt Microfiber  Siêu mềm, siêu thấm hút cực thích  Bên em còn 2 màu: xanh đỏ  các pác đặt hàng - Tel/Zalo: 0878852268  Cọ Lốp Mart Hà Nội - [#ColopHanoi](https://www.facebook.com/hashtag/colophanoi?__eep__=6&__cft__[0]=AZXLVWNOt4d6Gvi7HUp05lHkMxZVMuxa-Ti12jF4I7VOBOQOSlPoUOpI4bA314Zyim_NegD4ipHMPReVtl0pjUmBPmOYeRt618bqADtqdDIaBKFOjCduuAFirLgLS80m3dhU4nfHlBYudQPanROZfdq0rHuCBmsNMT4YeD65NPMHkQ&__tn__=*NK-R)  Tổng Kho Phân Phối Dụng Cụ Chăm Sóc Xe Ô Tô  Add: Xala, Phúc La, Hà Đông, Hà Nội  Shopee: [https://shopee.vn/colopmarthanoi#product_list](https://l.facebook.com/l.php?u=https%3A%2F%2Fshopee.vn%2Fcolopmarthanoi%3Ffbclid%3DIwAR2J8A1AD6mokxpmObAsO8NUiGpDroRBVuIP-GNW_pzZKe5F_UsJWpvHD0Q%23product_list&h=AT00mtO6mv5oSxeZXUQlIjE8siOG4cPy1kAIJIjRJX3ZL4EELoiZHl3ZtNol55ouqZajQN1-trV6dHKuXneEWZwdmV75GIKBmQpNckm0lYtPWqdFJFcirGWsxkVC7hjbnKtxzWyT_awZTW-3zhNu&__tn__=-UK-R&c[0]=AT0ieA9-FKZ2wTAZvmI1XnAfyQ8U4sSuGs4XrDrl-Aye-1ahqw7f2UoY_GAGSX3UNJDMFYXX_7jCH3iRKmguMQQdZSJhoeh5IRMd2bfJ43zRaGf31gfg5EXlj-2zDtLL_KMESIpRNPOlfVn6_rk2ZCf3yJCnbv7zdGHu5G3Ok2grwdbb6jc)",Others,Cannot defined
Non Owned,"Tinh dầu dưỡng ẩm sâu Klairs Fundamental Watery Oil 50ml giúp da căng bóng, chống lão hóa được giảm 44%! Chỉ còn ₫85.000 - ₫385.000. Mua ngay trên Shopee! https://shope.ee/8pBGeMIBV2",Commercial,Items/price
Google Play,"App cho mã , dùng thì bảo hết hạn trong khi vừa lưu , đặt hàng mãi không được",Feature,Apply Voucher
Google Play,"Thanh toán bằng shopee pay cứ xảy ra lỗi ngoài ý muốn, thử lại cả tối rồi :))",Payment,ShopeePay
Non Owned,"Cần Tìm Đối Tác Kinh Doanh Cây Cảnh, Cây Bonsai, Tìm Đối Tác Kinh Doanh Cây Cảnh – Bpackingapp – Bpacking in Viet Nam",Others,Cannot defined
Google Play,Kiếm đc cái mã giảm giá thì ko mua đc hàng,Feature,Apply Voucher
Google Play,lỗi suốt ngày,Others,Cannot defined
Non Owned,"Cả nhà ơi, mình lại chéo sub với nhau nha.   shopee.vn/doris.acc",Others,Seller
Google Play,Ứng dụng tiện ích nhưng chỉ đáng 1 sao vì cứ vào tìm kiếm sản phẩm lúc đầu thì không sao được một lúc sâu là đơ láng rồi loát như cái thời dùng mạng 2G ấy . Nên chỉ đáng 1sao cho tiện ích thôi,Feature,App performance
Google Play,"Hay là shopee đổi tên thành shop dăng đi. Hở tí là dăng. Đang tưới cây, dăng. Đang tưới nước giúp bạn, dăng. Đang ghé shop nhận nước, dăng. Còn vào trang chủ thì lỗi, chúng tôi đang khắc phục. Nói chung càng update càng đi lùi .",Commercial,Games/Minigames
Google Play,Tiền ship đắt thấy má,Delivery,Shipping fee
Google Play,Không làm gì tự nhiên bị mã m04,Shopee account,Banned/blocked
Non Owned,https://shopee.vn/maybeaty like và sub chéo đi cả nhà ơi. Hứa sẽ trả đủ,Others,Seller
Google Play,Quảng cáo db lắm thế dcm,Commercial,Promotions
Google Play,"Quá nhiều lỗi , lướt shope lâu là bị đơ ,mạng còn mạnh thì bảo ui lỗi rồi quá bức xúc bực bội quá tệ , rất tệ về hiệu năng tương thích...và nhìu vấn đề khác về mạng và bộ nhớ.... loading thì lâu vãi càng ngày càng chán , khắc phục thì ko thấy cải thiện ở đâu toàn lỗi và thêm nhìu lỗi hơn thôi ,tôi thì tôi mua trên shope nhìu mà gặp nhiều vấn đề vậy không khắc phục được chắc xoá mẹ cho rồi bực bội.",Feature,App performance
Non Owned,Phát hiện kẹo ngậm ở TP.HCM chứa chất cấm,Commercial,Items/price
Google Play,Tài khoản đang bình thường tự nhiên vô mất tài khoản là sao,Shopee account,Banned/blocked
Google Play,ko đặt đc hàng,Others,Cannot defined
Non Owned,"Theo bác sĩ Trương Hữu Khanh - Nguyên trưởng khoa Nhiễm - Thần Kinh, Bệnh viện Nhi Đồng 1, chia sẻ tại tọa đàm trực tuyến ""Phòng tránh các bệnh truyền nhiễm, giúp trẻ khỏe mạnh mỗi ngày"", ngay cả trẻ dưới 6 tháng tuổi vẫn có nguy cơ bị nhiều virus, vi khuẩn xâm nhập vào cơ thể và gây bệnh. Thế nên nuôi trẻ khôn lớn, bảo vệ trước môi trường sống luôn tiềm ẩn nhiều mối nguy đến sức khỏe của trẻ là điều mà nhiều ba mẹ đặc biệt trăn trở. Trẻ dễ bị virus, vi khuẩn là do đặc điểm lứa tuổi, điều kiện sinh hoạt, học tập tập thể, khiến trẻ là đối tượng dễ bị ảnh hưởng trước sự biến đổi thời tiết, ô nhiễm không khí cũng như những tác động từ môi trường sống. Vậy nên giúp cho trẻ được an toàn, ít bị chịu tác động trong môi trường sống là mối bận tâm hàng đầu của nhiều ba mẹ. Đặc biệt là khi trẻ bắt đầu đi học trở lại, cũng là khi giao mùa, thời điểm thích hợp cho virus, vi khuẩn gây nhiều bệnh ở trẻ bắt đầu phát triển. Xây dựng cho trẻ một môi trường sống sạch, trong lành và được giữ vệ sinh đúng cách sẽ giúp hạn chế sự xâm nhập của vi khuẩn vào cơ thể trẻ. Từ đó, môi trường sống sẽ kích thích trẻ học hỏi và phát triển trí tuệ. Cũng theo bác sĩ Trương Hữu Khanh chia sẻ tại buổi tọa đàm trực tuyến ""Phòng tránh các bệnh truyền nhiễm, giúp trẻ khỏe mạnh mỗi ngày"", trẻ có nguy cơ mắc các bệnh do virus, vi khuẩn gây ra là từ bàn tay, khi tiếp xúc với các bề mặt bẩn, hoặc qua đồ chơi, đồ dùng trong gia đình. Chính vì thế ba mẹ cần hướng dẫn trẻ vệ sinh tay chân cũng như môi trường xung quanh. Ngoài ra, khi trẻ phải tiếp xúc với môi trường bên ngoài, hãy trang bị những sản phẩm khử khuẩn chuyên dụng. Những sản phẩm khử khuẩn sẽ bảo vệ trẻ mọi lúc mọi nơi, đảm bảo ngăn chặn những vi khuẩn có hại gây ảnh hưởng đến sức khỏe. Xịt sát khuẩn Baby Fresh giúp loại bỏ tới 99,99% vi khuẩn gây hại Xịt diệt khuẩn khử mùi đa năng Baby Fresh Spray – Hiệu Joona có thành phần chính là nước tinh khiết và axit hypochlorous (HOCl) nồng độ 115ppm. Theo các nhà khoa học, axit hypochlorous là chất oxi hóa mạnh, khi gặp vi khuẩn, phân tử -Cl trong HOCl sẽ phóng ra ngoài để oxy hóa thành tế bào, tiệu diệt các vi khuẩn, hoặc đi qua các thành tế bào và phá hủy các thành phần quan trọng bên trong vi khuẩn. Điều này đem lại khả năng diệt khuẩn tối đa cho sản phẩm. Với khả năng sát khuẩn của mình, HOCl sẽ tiêu diệt virus, vi khuẩn trên bất kỳ bề mặt bám nào. Ba mẹ có thể dùng Baby Fresh để khử khuẩn trên các bề mặt tiếp xúc như sàn nhà, bàn ghế cho đến đến bát đĩa ăn uống, đồ chơi, khăn áo,... Ngoài ra, Baby Fresh cũng có thể loại bỏ vi khuẩn ngay trong chính căn phòng sinh hoạt chung của gia đình hay ô tô, giường chiếu,... Khi trẻ tới trường hay đi dã ngoại, ba mẹ hãy sắm cho trẻ dung dịch xịt khuẩn Baby Fresh như một nước rửa tay khô, để sát khuẩn mỗi khi tiếp xúc môi trường bên ngoài. Xịt sát khuẩn Baby Fresh an toàn cho trẻ Theo bác sĩ Trương Hữu Khanh tại buổi tọa đàm ""Phòng tránh các bệnh truyền nhiễm, giúp trẻ khỏe mạnh mỗi ngày"", HOCl là một chất có tính sát khuẩn mạnh, nhưng mức độ phân hủy nhanh. Chính vì thế các sản phẩm có chứa HOCl khi sử dụng sẽ không tạo mùi khó chịu khi hít vào mũi, hoặc dính vào miệng. Cũng theo chia sẻ của bác sĩ, một số tổ chức Y tế của Hoa Kỳ đã cho phép sử dụng các chất sát khuẩn có chứa HOCl để sát trùng các vết thương hở. Trong thực tế, HOCl là chất cơ thể sẽ tiết ra khi tiếp xúc với vi khuẩn, virus gây hại. HOCl có tính chất axit yếu, tương tự như của nước ép cam quýt nhẹ. Đối với sản phẩm Baby Fresh, dung dịch xịt khuẩn sẽ tự chuyển hóa thành nước sau khi tiếp xúc 30s với bề mặt. Baby Fresh hoàn toàn an toàn khi sử dụng trực tiếp với da, mắt của trẻ. Ngay cả khi trẻ không may có nuốt phải cũng không sao. Sản phẩm đã được chứng nhận chất lượng bởi Viện Nghiên cứu và Kiểm nghiệm Hàn Quốc KTR và viện dịch tễ Trung Ương Việt Nam. Cuối cùng, là Baby Fresh có khả năng loại bỏ những mùi hôi khó chịu, mùi hương dung dịch sau khi xịt có hương thơm dịu. Xịt sát khuẩn Baby Fresh được nhiều ba mẹ tin dùng Với khả năng diệt tới 99.99% virus, vi khuẩn gây hại. Baby Fresh đã được nhiều ba mẹ lựa chọn. Thiết kế nhỏ gọn, có thể dễ dàng mang theo, xịt sát khuẩn đến từ thương hiệu Joona Baby sẽ bảo vệ trẻ toàn diện, không chỉ khi ở nhà. Ba mẹ hãy lựa chọn Baby Fresh ngay từ hôm nay, để giúp trẻ phát triển khỏe mạnh, tránh được những mầm bệnh xuất phát từ môi trường sống tiềm ẩn nhiều vi khuẩn gây hại. Giới thiệu về sản phẩm: https://bom.so/iL63Ae Shopee: https://bom.so/9M2C2b Website: https://joonababy.com.vn/ Email: marketing@hanalabs.com.vn Giới thiệu sản phẩm xịt khuẩn Joona Baby: https://bom.so/rZEwxG Công ty TNHH Hana Labs Việt Nam Địa chỉ: Số nhà 9, lô D, Ngõ 59 Láng Hạ, phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, Việt Nam.",Others,Cannot defined
Google Play,Có những đồ ko được tốt cho lắm,Buyer complained seller,Product quality
Google Play,"Xu shoppe cứ như bị ai hack á, nghỉ k điểm danh cỡ 5 ngày trở lên là mất xu, mất tầm 1 ngàn mấy 2 ngàn tùy lần. K vui tí nào, đôi lúc vào cứ báo lỗi ai điểm đc.",Feature,Shopee coins
HC search,spxvn02682986197b,Others,Cannot defined
Google Play,Tự nhiên khóa phương thứ thanh toán,Shopee account,Limited/warned
Google Play,Sao bữa giờ vào nó cứ kêu: lỗi. Chúng tôi đang khắc phục.,Feature,App performance
Google Play,"Mẹ đặt ship lâu vcl xoá cho nhanh , tốn thời gian nặng cả máy",Delivery,Delivery time
Google Play,Lỗi quài luon á :)) qua h kh vô dc,Feature,App performance
Google Play,Giao hàng chậm vl,Delivery,Delivery time
Google Play,Ứng dụng ncc quảng cáo lắm ỉa,Commercial,Promotions
Google Play,"Shopee càng ngày thấy tệ, tui có mã giảm giá dành cho người mới sao ko dùng đc hả với lại quay chẳng trúng quà may mắn gì hết trơn, làm ăn đc gì nữa cho 1 sao😡😡😡",Feature,Apply Voucher
Google Play,Lỗi à?,Feature,App performance
